"HolderAddress","Quantity","PendingBalanceUpdate"
"0xbaab40b857e860c342b5c3fbcc06b41929e35499","15","No"
"0x3ee505ba316879d246a8fd2b3d7ee63b51b44fab","15","No"
"0x1d4e4e425146845d1a26e9e761415fb60902f4ee","15","No"
"0x207b4a2b37b38e54217acb4b8c2ce7025bd14759","14","No"
"0x63bbee1f3a5077f1aa37379c7f48c44ff5fcd7b1","14","No"
"0x6437d6da5a2d9853d0f2eb94c6e102d36c1f4a13","14","No"
"0x25be6c9cbf3b8ddda767ba6a597f8e6d211fc224","14","No"
"0x37eec60a6d731beb8bb08449d8aaf8a1671e6fcb","14","No"
"0x12abfc805cbb1ef7a898a33f43301bbd24a5d8d2","14","No"
"0xab0ac7a49a3a4db65f7f2fc03fd3f64fb3bb5d5c","14","No"
"0x32802f989b4348a51dd0e61d23b78be1a0543469","13","No"
"0x28b50f9a4520cd07670dafd300be37bef0d1c3e8","13","No"
"0x464fb9cdf750bdb0d9ca2a823aa90648606bd27c","13","No"
"0x156daf376cfbdd938c470a227508b0ba022c998f","13","No"
"0x65cd2c617bc22bfd319d940f0187c87d480a2387","13","No"
"0x9776a4a25e08230aa132865d5fce43bc48f0eb18","13","No"
"0x89f42ccb1b90103a4b886cc8ee01979492808079","13","No"
"0xc270b3a8428b222905c2564b0118fb4a0e10bb81","13","No"
"0x194a55cd4c58a01eac8ff299470010764c8697d6","13","No"
"0xaddd5a1d51bff4d67e67ae23fad94b6b287de78c","13","No"
"0x120958291a7b2eaf9d2691bdaf07025527031656","13","No"
"0xcbc44e0850fa7819184bfe379bc46f3c84fcf468","12","No"
"0x952b0c9af8f8aa7c11e51384a9ec39500a9a17b1","12","No"
"0xbc486420659a2009987207649d5d0b401349f679","12","No"
"0x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28","12","No"
"0x2e21f5d32841cf8c7da805185a041400bf15f21a","12","No"
"0x01c12063b7b5b783a989a60af9f9f06534307a2d","12","No"
"0x5f747cf7aa9e03dc2bfed25fa8cce89bf06488b8","12","No"
"0x48e1d8dae86abfe39b0b3a853d82400793327d7c","12","No"
"0x06636ffd74a165eb99538d8bde0aa1a407d94afe","12","No"
"0x42b2d7c6aeaec9b592f477761285b26b78140a80","12","No"
"0x680d896c6c0b637a438fcfa3d8386861737ce6a9","12","No"
"0x247648f73f1d13ed4461a36b7dac5a8fc09e5df4","11","No"
"0xaa0a56e9d90d0d3c9aae2d5e6b854b4ebc331790","11","No"
"0x18c2f8a7e2696d28661d59785b18c6794cd8d8e1","11","No"
"0x6c6541cc3ec6bfc2d7b0ca48ccb0225cbbea9b59","11","No"
"0x119a435051ae5795b77e24e4af600f9cffdfffa3","11","No"
"0x5e30c99a4c6219a6ad97a6f0ff0214e72fa80c90","10","No"
"0x38ea6cdd98e0d5fa0b0e4b2e321b27fd5da7bfa9","10","No"
"0x1c2d8d968f11766d1ed5dadd1f83bf43c406bd4b","10","No"
"0x9d16cedc91b859f2e03d94f479994f795f422e27","10","No"
"0x5c9e30def85334e587cf36eb07bdd6a72bf1452d","10","No"
"0x5136e623126d3572933fbafe59ae97f13dd9687a","10","No"
"0x0e442c7d7db830276ecc7292bc57456309fe1522","10","No"
"0x398d282487b44b6e53ce0aebca3cb60c3b6325e9","10","No"
"0xd784817ac75b0ba5592d7e29dc03cdd883c07e70","10","No"
"0x77cc78e9c0cfbb7516d1dcce58fe5d09593e820a","10","No"
"0x9e64b47bbdb9c1f7b599f11987b84c416c0c4110","10","No"
"0x1c6f1a832e73949c97fe335a98b6a5fc3c9c29e9","10","No"
"0xc2f094439cd1fc45af3e8a679984927abab0d3d9","10","No"
"0x323fbfd062bf58d32334e8ab510092fa30578024","10","No"
"0xbac458fa4a59b9a03abd73dfaaf971ce05a83cc7","10","No"
"0x548556bde512596b65471264ada687a309e466e0","10","No"
"0x191b74b0ba1a6def353b2c7dab07120ee7379193","10","No"
"0xa8a9e2c366c56ce3968bbac981d1a063e58dfa85","10","No"
"0xb34f33a59ac32c8e79839acb8dd904ce7c72d169","10","No"
"0xfaf31478a825f1de394a7330995b1d0d5de6b42e","10","No"
"0x4ea945be268b0b0f6b717368f14fa558521d4110","10","No"
"0x42a75fe5ab5978acf025c9bd913af7f7a494b819","10","No"
"0x0210798166bc4934ffba40837cad2ff589056ffe","10","No"
"0xd8e47c8ae163e9d0444e59199abf64035377ac6e","10","No"
"0xc0cb2d4a92624d3af362f6fe58c47a46a65bc2eb","10","No"
"0x319deb909e8f0a372be3c477700e88cfc1110db5","10","No"
"0x9f4f78a6c4a5e6f8afa81631b9120ae3c831b494","10","No"
"0xf13a2e3795cc05451a470ad8025671275c672eee","9","No"
"0x489ed404be1beb391f4e1e748221bce0857cbf23","9","No"
"0x1555177f50f32245d8d6ee4650357736eccf9856","9","No"
"0xc7e6bbf6dbe78b40640385e73dc1958f4428fb3e","9","No"
"0xbcea18e790ca57c5f3bcfbd7235de6c607776a6b","9","No"
"0x1ac08405e96e3561893eef86f194acdb9a24d38d","9","No"
"0x39b557a249706cac1dffe157ce5d25ff1791b56f","9","No"
"0xceb5c866807d50e16a905fa16f66f80cae43d57f","9","No"
"0xf6f4b3d80884dcf2e602820622cafc1bcc1f9afe","9","No"
"0xee61b0d50d96d4249ae0e12756edc199bbb7d070","9","No"
"0x009275e5d2197b93ef02e33d0cdaa625c03ade56","9","No"
"0x2db2838751e05a9e95c1d1ec1912ac74ef37edb7","9","No"
"0x457ebcaab3b5b94708207481b9510a983e671517","9","No"
"0x392d8561d047abc4712ff52beea6394379722e7a","9","No"
"0x840037d9330eb34e08f5fddb6b794e8ac667e061","9","No"
"0x89e11139832a11ac95b7dc27f89ffe471e7b8df2","9","No"
"0xc2d875d553fe9600bd4904f062f613394c9af8eb","9","No"
"0xd1510e4d4263cdc50dd39a5d18d4c676fe4b0aa5","9","No"
"0x4fe4bbb5060d43f71fec00e5ddfaa5777850edc4","9","No"
"0x548efce69bb82a16f3911a86a65384327c99c3ab","9","No"
"0x75bb94044f5f80e1367b66519e8bd7ee35f92047","8","No"
"0xb86bb80f6101b4706f370e3e8a59607d69b0d8e4","8","No"
"0x0154d25120ed20a516fe43991702e7463c5a6f6e","8","No"
"0x58aa50c29bba417ae2384805ae7fbae1381f68d8","8","No"
"0x27524bff4423404f4b516367bd6a67c71876aa7d","8","No"
"0x32cc2ec897f21a77a704e9a7313af6a640c47bb5","8","No"
"0x501e9987bbf5140dab604f01c7f013aba6dd22b0","8","No"
"0x1a1dd4f1549ae231bedba4cfee750252f9f77209","8","No"
"0xf6803ed4f02348545499f2d44ee1279a9d12a5b5","8","No"
"0xabb5fed8a72b3344f73a609792da0c1fbd82f4c8","8","No"
"0x544e3f54cad02f469e4038c235a459f62c9a06aa","8","No"
"0x016ab691721a99da1c1489ca0ac8b549eb0f7713","8","No"
"0xd2adee3cce690a7af928210342b86a965548f526","8","No"
"0x1511afbe08e6abbf4e78fb8a72877019500b7a2c","8","No"
"0x90f968ab578e25086553f5d6db6875530d3f7d38","8","No"
"0x179abb9ecae3352fc83678511da5810902e338e5","8","No"
"0xf24ea6adb290e4a3f5d0c5da53d328e78dff2789","8","No"
"0x8699fca9ad5f9e7689ac0e32a8467e1d14c351e3","8","No"
"0x9c258268d067ed41c7e6e6042671ce416713fbde","8","No"
"0x2543fa7e0932371b7f723eede5b2c1f756d120cd","7","No"
"0x681cbae1c41e5eec8411dd8e009fa71f81d03f7f","7","No"
"0xb8b251e3d23d1beb45331c430ee12ef6fdca19dd","7","No"
"0x9893e05c2a7a9ba3261c58710d297054d756007b","7","No"
"0x94d9ebb25447ac5d66b58a6a4fdfd62b3b83bd90","7","No"
"0x2e6b28fda29e5328acd9cadaf6b5900daf5cb576","7","No"
"0x827c7bf1fbb12e214904ee45977a44b018fcde3a","7","No"
"0x8821239c20380fcda9085b4c5709146adf5347dd","7","No"
"0x4deecb10cdcb51629f371365c351ca1abccd1dd3","7","No"
"0x70ee05f3a23819859607e25f19204fed98a5522a","7","No"
"0xad61699a3ae4fb8c05af73f11aaf669b88ef4724","7","No"
"0xf71285964bf166a1da2d61d58e4c67d272946aa6","7","No"
"0xe8f6324bca2ab61571748662c788ef2a1043656a","7","No"
"0xbcca383e7be60f9300469e32ec1d1b5af73bfa0e","7","No"
"0x1e5ce6f088fd0adb4fcff31cfb02a61503311be9","7","No"
"0xedf7b675a2fe3c27efb263fb4c204a3f0fb17d46","7","No"
"0x24bf8786a44e3b6084395f1eac09171d3f93212d","7","No"
"0x549b76ea53528c8265412874e5c67e3a0a58be30","7","No"
"0xb3e8d332ef4730e6e6d37ba9885edd515506b19f","7","No"
"0x9b2062d0b3841e9ab9f8f222cf1b7e8edff94024","7","No"
"0x3a27a89d203fdd6f241c43b4ccc667dff10f32a6","7","No"
"0xcd8a4b92c51354fd901aab8263dab439bce29015","7","No"
"0x5139c2d023c638a5f5190858b2ba4886873ed027","7","No"
"0x984c2ca02454de2250ed0dac78d40787ebfeb95c","7","No"
"0xbee02128e8364972d704f9f3bc267c54855f6642","7","No"
"0xb37509c1decb1b983cc3aa8870d344dde5dc0b62","7","No"
"0xfa2a0d043649eb88cd9c1af611f3434d4d61a101","7","No"
"0x699f324560e9236afcfcedbbfb9c4afa8fa9b042","7","No"
"0x2a6b58d499ecfb3268043cbffbfcc11aacbc1533","7","No"
"0x02e0b414926c827b18b1f0b9adbe595ef6ffa080","6","No"
"0xd3775017a04a3ff7999b5cff7b475da8919e5484","6","No"
"0x3bf9cb2117585f5b0680e9f959090a84e63afb58","6","No"
"0xfd22e70cb42a0fa315c82e0aa95a6dc19f8b4934","6","No"
"0x80151e56127679d0df3ce3aa1250b51c09c070b5","6","No"
"0x7374bb48a5fdc16c9b216f3fcc60b105c73d1806","6","No"
"0x32918dbb0dad6c0e92ebc72f024a61fb8507277e","6","No"
"0x46bfa36e19d7e5baa0a039f7e5868b3592c85be2","6","No"
"0xa5a7deca9bfa197f3a8d4e1738943516080917df","6","No"
"0x91a16d1458444dde3c30b5621403469b74a9793a","6","No"
"0x339dd90e14ec35d2f74ffea7495c2fb0150af2ba","6","No"
"0x58e2b4d76f66f2e71d1db865c4f4c8e9adcc13c0","6","No"
"0x373fff342f15a3b0bbca144638b2d53f99ebd172","6","No"
"0x26fcea16996e6dc73cfeaa1e0af772651251da9f","6","No"
"0x8c95225b1046b07a1dd6499c777dadf89c40eb78","6","No"
"0x50b5ef5c0b2d65785e7a69a0e711c742b34b36e3","6","No"
"0xce012e3b7b3d59a51db0763d0b96a4f5b116286f","6","No"
"0x344567f7b327c6bbde7b28582d3c277667277269","6","No"
"0xbb379331de54a7c0a4b2bff5a54a14cdba7e9e6d","6","No"
"0x5b44baabf9b9831852e9fbb037919e4b170b2477","6","No"
"0x502df8858c52ad949b9df2aa6c49eff66fc2d231","6","No"
"0x71e4d8589b605d094ec5a2862551d9fe15885c6b","6","No"
"0xc3be023a8cf8f47cd29245f894e217e08007ca7a","6","No"
"0xc99f40453b4ef2630261344220394740da47beab","6","No"
"0xdf12161afaf4367f130bbd7aeb50abffce612619","6","No"
"0x3e8a1026bbca3777b3e59fc4646a812480c5d1b9","6","No"
"0x4e9cca41646b60a6817a984c8721d8e7e783c7cc","6","No"
"0x4c8d263d3d8bce4e1dd032e3f6d779a74355a9d9","6","No"
"0x282ec77d6865db86464c79dbd8a54c72f42f54ec","6","No"
"0x0e1b6bdc6367728a41486b1d3ac13f29bdf2c730","6","No"
"0x876eb48dc3e9ece4b727452b9b844a96f855dea4","6","No"
"0x2e67494a6efbaa66f932bce73152f99d7f56288e","6","No"
